,reductant_C,temperature,catalyst_C,cat2lig,concentration,solvent_dielectric constant,reductant_n_carbons,reductant_n_beta_H,reductant_metal,reductant_isTurbo,ligand_fmo_eta_boltz,ligand_nbo_P_rc_boltz,ligand_nmrtens_szz_P_boltz,ligand_efg_amp_P_boltz,ligand_efgtens_xx_P_boltz,ligand_efgtens_yy_P_boltz,ligand_E_solv_cds_boltz,ligand_nbo_lp_P_percent_s_boltz,ligand_nbo_lp_P_occ_boltz,ligand_nbo_bd_e_avg_boltz,ligand_nbo_bds_e_avg_boltz,ligand_nbo_bd_occ_avg_boltz,ligand_nbo_bds_occ_avg_boltz,ligand_E_solv_total_boltz,ligand_E_solv_elstat_boltz,ligand_E_oxidation_boltz,ligand_E_reduction_boltz,ligand_fukui_p_boltz,ligand_fukui_m_boltz,ligand_vbur_ratio_vbur_vtot_boltz,ligand_Pint_P_min_boltz,ligand_dipolemoment_boltz,ligand_dipolemoment_delta,ligand_qpole_amp_boltz,ligand_qpoletens_yy_boltz,ligand_qpoletens_yy_max,ligand_pyr_P_boltz,ligand_pyr_P_delta,ligand_vbur_qvbur_min_vburminconf,ligand_vbur_max_delta_qvtot_boltz,ligand_vbur_ovbur_min_boltz,ligand_vbur_ovbur_min_delta,ligand_vbur_ovbur_min_vburminconf,ligand_vbur_ovtot_min_min,ligand_vbur_far_vbur_boltz,ligand_vbur_far_vbur_min,ligand_sterimol_B1_boltz,ligand_sterimol_B1_min,ligand_sterimol_B5_boltz,ligand_sterimol_B5_delta,ligand_sterimol_L_boltz,ligand_sterimol_L_min,ligand_sterimol_L_delta,ligand_sterimol_burB5_boltz,ligand_sterimol_burB5_min,ligand_sterimol_burL_boltz,ligand_sterimol_burL_min,z%
4Z2,2.06418738616856,0.8614633131627566,-0.2477973138916761,0.4449941594899845,0.611114696028339,-0.3297700887024424,-1.1508965955156856,-0.446726234135981,1,0,0.0468054500320064,0.8570352348079611,0.5847159349953479,-0.3145370689597913,-0.3213274123258717,0.7600953034036986,-0.3729719806815665,-0.1040099167804302,0.6515967347631472,0.5560787085110351,0.0010096503750904,0.0600885309346411,-0.3476370960201563,0.4639730768630228,1.1385699741012112,0.1339870492663585,0.3073394435139143,0.4794749310963818,1.3193642896904412,0.6944558126329049,0.549398178863058,-0.646413262763347,-0.1584251120027915,-0.9859667052277504,0.41507377960484,0.544142877956249,-0.0655219425868808,0.7342647678074075,0.4070840716880468,-0.5212190750464543,-0.1528161801523446,-0.3989693283909996,-0.0644156626400831,-0.0912870929175276,-0.1528542448800194,-0.1527411896610949,-0.1015465008203111,-0.9307017273171728,-0.5302724126355826,0.0650088169791999,-0.0396891161460732,0.1299248131558502,-0.4876655563211511,-0.0825728469222873,-0.0973747739153568,0.9471348540104751,0.5985897369270925,0.85
4Z3,-0.484452141651805,0.8614633131627566,4.035556254807295,-2.247220505424423,1.6704969054757477,0.8357502713681244,-1.1508965955156856,-0.446726234135981,1,0,0.0468054500320064,0.8570352348079611,0.5847159349953479,-0.3145370689597913,-0.3213274123258717,0.7600953034036986,-0.3729719806815665,-0.1040099167804302,0.6515967347631472,0.5560787085110351,0.0010096503750904,0.0600885309346411,-0.3476370960201563,0.4639730768630228,1.1385699741012112,0.1339870492663585,0.3073394435139143,0.4794749310963818,1.3193642896904412,0.6944558126329049,0.549398178863058,-0.646413262763347,-0.1584251120027915,-0.9859667052277504,0.41507377960484,0.544142877956249,-0.0655219425868808,0.7342647678074075,0.4070840716880468,-0.5212190750464543,-0.1528161801523446,-0.3989693283909996,-0.0644156626400831,-0.0912870929175276,-0.1528542448800194,-0.1527411896610949,-0.1015465008203111,-0.9307017273171728,-0.5302724126355826,0.0650088169791999,-0.0396891161460732,0.1299248131558502,-0.4876655563211511,-0.0825728469222873,-0.0973747739153568,0.9471348540104751,0.5985897369270925,0.81
4Z4,-0.484452141651805,0.1922044952321397,-0.2477973138916761,0.4449941594899845,1.6704969054757477,0.8357502713681244,-1.1508965955156856,-0.446726234135981,1,0,0.0468054500320064,0.8570352348079611,0.5847159349953479,-0.3145370689597913,-0.3213274123258717,0.7600953034036986,-0.3729719806815665,-0.1040099167804302,0.6515967347631472,0.5560787085110351,0.0010096503750904,0.0600885309346411,-0.3476370960201563,0.4639730768630228,1.1385699741012112,0.1339870492663585,0.3073394435139143,0.4794749310963818,1.3193642896904412,0.6944558126329049,0.549398178863058,-0.646413262763347,-0.1584251120027915,-0.9859667052277504,0.41507377960484,0.544142877956249,-0.0655219425868808,0.7342647678074075,0.4070840716880468,-0.5212190750464543,-0.1528161801523446,-0.3989693283909996,-0.0644156626400831,-0.0912870929175276,-0.1528542448800194,-0.1527411896610949,-0.1015465008203111,-0.9307017273171728,-0.5302724126355826,0.0650088169791999,-0.0396891161460732,0.1299248131558502,-0.4876655563211511,-0.0825728469222873,-0.0973747739153568,0.9471348540104751,0.5985897369270925,0.83
4Z5,2.06418738616856,-1.8155719585597103,-0.2477973138916761,-2.247220505424423,-1.5076497228664774,-0.3297700887024424,-1.1508965955156856,-0.446726234135981,1,0,-0.423587225763782,-0.5568501287960212,1.6332291546184594,0.2236590241584676,-1.3627010583426935,1.4500852668788795,-0.8833357541452002,-0.044281606172122,0.5499417781560982,0.3860629032769807,0.3248930639849871,0.2050809627017078,-0.0588819797341479,-0.5557633331767292,0.2857346793121684,-0.61136274765463,0.3225678551431767,-1.1407578334610629,-0.4351365135592495,1.1291774491650777,0.645832523819781,-0.8576707141159114,1.5086178131217771,-0.2134263857210731,0.1833967353512281,-0.0046232926600562,0.3015080093987457,0.7722638836139138,0.8723881489878692,0.5726443117279961,-0.065788949320205,2.70387136489357,-0.0644156626400831,-0.0912870929175276,1.1789947131967562,-0.1527411896610949,-0.3514982427437078,-1.2625728005540768,-0.5253033341281523,1.1288100707570103,-0.1963878362137939,-0.6211704325166999,1.5595411875369234,0.5926640491524241,-0.2778495221707691,0.4334796838235737,-0.4321585856623184,0.85
5E1,-0.484452141651805,-1.8155719585597103,4.035556254807295,-2.247220505424423,-1.5076497228664774,-1.4066095518111184,0.7183448549191862,-0.446726234135981,1,0,-0.1688060862206386,-0.0562251392211374,-0.2868385984620233,0.2403890712849055,0.5453955361561063,-0.9657421089022364,0.7950245738381972,-0.3332217229113128,-1.059133710206803,-0.4650844753119054,-0.2468843230316275,-0.4817101516715469,-0.1789797800983111,0.4385353349964752,-0.3470167404767316,0.8682465606910467,-0.7997972969801525,0.3135501938005061,-0.042831477548712,-0.4274110268423542,-1.1945014341427715,0.775935769049438,0.5553281496933872,0.8103789770504947,0.7624462617577178,1.1337782335649675,0.3138728659208736,-1.0942623044862367,0.1177003314487198,-0.6486987097162241,-0.1528161801523446,-0.3989693283909996,-0.0644156626400831,-0.0912870929175276,-0.541940396041706,-0.1527411896610949,-0.0185582412642982,0.3403180788222127,-0.7717163262988741,-0.3276780438618559,-0.2203253665280904,-0.294585858203812,-0.4286068934592068,0.020055653609886,-0.2679272793349234,-0.8620610129653318,0.148824974060453,0.12
5E2,-0.484452141651805,-1.8155719585597103,-0.2477973138916761,0.4449941594899845,1.6704969054757477,-0.3297700887024424,0.7183448549191862,-0.446726234135981,1,0,-0.4933054376744517,0.1514796103039707,-0.3180781341044795,0.1919156221701527,0.5676112515028926,-0.934623924355822,1.2458635493584964,-0.3728290393379778,-1.2804655043433502,-0.8227773463414675,-1.3323767194755032,-0.5010332716693152,-0.2542185705206885,0.3011753317109721,-1.1062736068873684,1.6031134323762182,-1.813801368253948,0.1070233866001655,0.187984606469419,-1.4511953645424371,-1.513561625966843,0.5304227245937544,-0.7489832218222748,1.6394792984167788,-2.234534838337964,-2.169781150206237,0.2708572079964746,-1.1100740209423117,0.1312326643031707,-0.1862032609994504,-0.1528161801523446,-0.3989693283909996,-0.0644156626400831,-0.0912870929175276,-0.541940396041706,-0.1527411896610949,1.8662927595292715,2.019832772667728,0.7742299074862192,-0.8199594920467802,0.1820016495172868,0.8948812656210712,-0.885323243007252,-0.8381600224704719,-0.273100387465146,-0.9618356023276718,0.1827756544517665,0.15
5E3,-0.484452141651805,-1.1463131406290938,-0.2477973138916761,-2.247220505424423,1.6704969054757477,-1.4066095518111184,0.7183448549191862,-0.446726234135981,1,0,-0.6702790733776689,-0.6109481424186028,-0.145710268326033,0.1477289368827318,0.5822087307842956,-0.8996382395295348,1.006147609912036,-0.5739200959619257,-0.675451198738594,0.1189548289846331,1.797588170705344,-0.2484923178102538,-0.0039726041152145,-0.2805394691726089,-1.6565537573189275,-1.1054276712776652,-0.0017586126627393,-0.5312990898980062,-0.6663788572136763,-1.085360474961134,-0.1190959384419843,1.0580616303560515,3.014487572680899,1.340551124542544,0.8533181033877721,2.205894411184853,0.2219977486474729,-1.0994582687034529,0.1353964605587901,-0.3050458809109623,-0.1528161801523446,-0.3989693283909996,-0.0644156626400831,-0.0912870929175276,-0.541940396041706,-0.1527411896610949,0.786490382137914,0.8193067681557115,1.084313785164564,-0.0275431872340183,0.2427234923227563,-0.2275616317816031,-0.0686709076310286,-0.8018796653581146,-0.2596238498254406,-0.7195652532207814,0.2845990075192763,0.19
5E4,-0.484452141651805,-1.1463131406290938,-0.2477973138916761,-2.247220505424423,1.6704969054757477,-0.3297700887024424,-1.1508965955156856,-0.446726234135981,1,0,-0.1688060862206386,-0.0562251392211374,-0.2868385984620233,0.2403890712849055,0.5453955361561063,-0.9657421089022364,0.7950245738381972,-0.3332217229113128,-1.059133710206803,-0.4650844753119054,-0.2468843230316275,-0.4817101516715469,-0.1789797800983111,0.4385353349964752,-0.3470167404767316,0.8682465606910467,-0.7997972969801525,0.3135501938005061,-0.042831477548712,-0.4274110268423542,-1.1945014341427715,0.775935769049438,0.5553281496933872,0.8103789770504947,0.7624462617577178,1.1337782335649675,0.3138728659208736,-1.0942623044862367,0.1177003314487198,-0.6486987097162241,-0.1528161801523446,-0.3989693283909996,-0.0644156626400831,-0.0912870929175276,-0.541940396041706,-0.1527411896610949,-0.0185582412642982,0.3403180788222127,-0.7717163262988741,-0.3276780438618559,-0.2203253665280904,-0.294585858203812,-0.4286068934592068,0.020055653609886,-0.2679272793349234,-0.8620610129653318,0.148824974060453,0.16
5E5,-0.484452141651805,-0.477054322698477,-0.2477973138916761,-2.247220505424423,1.6704969054757477,0.8357502713681244,0.7183448549191862,1.9735964970783637,1,0,-0.9551717642991724,-1.0170874398118144,-0.2651038990202592,0.0466703029703948,0.1972487446134733,-0.3222094631509656,-0.0950474869201431,-0.6065067265135266,-0.9509540181085416,0.1119321027346812,1.781507016539872,-0.3026783079592703,-0.0253200796586284,-0.5849605837425385,-0.7344239280685635,-1.3068270017010055,0.0494194161234,0.0009612408239982,-1.1562309592395006,-0.6931743346352446,0.7330773142621161,2.0181241620169805,-0.7489832218222748,1.123750501617806,-1.3564795629435284,-1.5069130759787142,0.142412354468659,-1.1100740209423117,-0.136291160523083,0.3631708074983361,-0.1528161801523446,-0.3989693283909996,-0.0644156626400831,-0.0912870929175276,-0.541940396041706,-0.1527411896610949,-0.2066052758451091,0.4778314744571069,1.3927440917954172,-0.8199594920467802,0.59969549371708,1.3768262076180957,-0.885323243007252,-0.8338666586951687,-0.2674663241864508,-0.5677483044731894,0.4747979091627093,0.52
5Z1,2.06418738616856,-0.477054322698477,4.035556254807295,0.4449941594899845,0.611114696028339,-0.3297700887024424,0.7183448549191862,-0.446726234135981,1,0,0.0468054500320064,0.8570352348079611,0.5847159349953479,-0.3145370689597913,-0.3213274123258717,0.7600953034036986,-0.3729719806815665,-0.1040099167804302,0.6515967347631472,0.5560787085110351,0.0010096503750904,0.0600885309346411,-0.3476370960201563,0.4639730768630228,1.1385699741012112,0.1339870492663585,0.3073394435139143,0.4794749310963818,1.3193642896904412,0.6944558126329049,0.549398178863058,-0.646413262763347,-0.1584251120027915,-0.9859667052277504,0.41507377960484,0.544142877956249,-0.0655219425868808,0.7342647678074075,0.4070840716880468,-0.5212190750464543,-0.1528161801523446,-0.3989693283909996,-0.0644156626400831,-0.0912870929175276,-0.1528542448800194,-0.1527411896610949,-0.1015465008203111,-0.9307017273171728,-0.5302724126355826,0.0650088169791999,-0.0396891161460732,0.1299248131558502,-0.4876655563211511,-0.0825728469222873,-0.0973747739153568,0.9471348540104751,0.5985897369270925,0.87
