,reductant,reductant_C,ligand_Z,temperature,catalyst_C,cat2lig,solvent,concentration,experiment,z%,ligand_ID
AL4,n-PrZnBr,3,69227-47-0,50,5,3,PhMe,0.05,additional ligands,0.28,199
AL5,n-PrZnBr,3,554-70-1,50,5,3,PhMe,0.05,additional ligands,0.33,21
AL6,n-PrZnBr,3,85417-41-0,50,5,3,PhMe,0.05,additional ligands,0.49,53
AL7,n-PrZnBr,3,84350-73-2,50,5,3,PhMe,0.05,additional ligands,0.5,959
AL8,n-PrZnBr,3,1070663-78-3,50,5,3,PhMe,0.05,additional ligands,0.49,102
AL9,n-PrZnBr,3,175136-62-6,50,5,3,PhMe,0.05,additional ligands,0.33,232
AL10,n-PrZnBr,3,1160861-60-8,50,5,3,PhMe,0.05,additional ligands,0.36,104
AL11,n-PrZnBr,3,331465-71-5,50,5,3,PhMe,0.05,additional ligands,0.48,488
AL12,n-PrZnBr,3,500997-69-3,50,5,3,PhMe,0.05,additional ligands,0.47,496
AL13,n-PrZnBr,3,829-85-6,50,5,3,PhMe,0.05,additional ligands,0.27,574
AL14,n-PrZnBr,3,13716-12-6,50,5,3,PhMe,0.05,additional ligands,0.45,8
AL15,n-PrZnBr,3,857356-94-6,50,5,3,PhMe,0.05,additional ligands,0.47,291
AL16,n-PrZnBr,3,71501-08-1,50,5,3,PhMe,0.05,additional ligands,0.32,456
AL17,n-PrZnBr,3,937378-17-1,50,5,3,PhMe,0.05,additional ligands,0.49,717
AL18,n-PrZnBr,3,1808959-39-8,50,5,3,PhMe,0.05,additional ligands,0.32,796
